Header,Mode,Band Ncoeff1,Band NCoeff2,Band NCoeff3,Band NCoeff4,Band NCoeff5,Band NCoeff6,Band NCoeff7,Band NCoeff8,Band NCoeff9,Band NCoeff10,Band NCoeff11,Band NCoeff12,Band NCoeff13,Band NCoeff14,Band NCoeff15,Band NCoeff16,Band NCoeff17,Band NCoeff18,Band NCoeff19,Band NCoeff20,Band NCoeff21,Band NCoeff22,Band NCoeff23,Band NCoeff24,Band MCoeff1,Band MCoeff2,Band MCoeff3,Band MCoeff4,Band MCoeff5,Band MCoeff6,Band MCoeff7,Band MCoeff8,Band MCoeff9,Band MCoeff10,Band MCoeff11,Band MCoeff12,Band MCoeff13,Band MCoeff14,Band MCoeff15,Band MCoeff16,SF1,SF2,SF3,SF4,CS1,CS2,CS3,CS4,enable,Number of Band
B4,AGC_22.05K,0,2000,0,2000,FF9A,2880,F333,ffee,7f69,8097,2000,2000,fff9,20,4,E7B0,DF86,30,FFF9,762B,01ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,AGC_24K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,AGC_32K,0,2000,0,2000,FF9A,2880,F333,ffee,7f69,8097,2000,2000,fff9,20,4,EEFD,CA75,30,FFFB,7E9B,01ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,AGC_44_1K,0,2000,0,2000,FF9A,2880,F333,ffee,7f69,8097,2000,2000,fff9,20,4,F38A,D708,30,FFFC,BB10,01ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,AGC_48K,0,2000,0,2000,FF9A,2880,F333,ffee,7f69,8097,2000,2000,fff9,20,4,F488,1001,30,FFFC,FF10,01ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header,Mode,Enable,DENS_gamma_n,DENS_NFE_blocksize,DENS_limit_NS,DENS_limit_NS_D,WB_gamma_e,WB_gamma_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0,NS_8K,0,1E6,190,287A,287A,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,NS_11_025K,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,NS_12K,0,0,0,0,0,0,0
C3,NS_16K,0,1E6,190,287A,287A,1,8
C4,NS_22.05K,0,0,0,0,0,0,0
C5,NS_24K,0,24,24,2824,2824,2,2
C6,NS_32K,0,0,0,0,0,0,0
C7,NS_44_1K,0,0,0,0,0,0,0
C8,NS_48K,0,48,48,2848,2848,4,4
